Country,Population,CIA,WorldBank,UN2010,UN2015,UN2020,growth_rate,pop_2050
World,8119000000,1.17,0.9,1.23,1.19,1.09,1.17,14524127111
China,1409670000,0.18,-0.1,0.57,0.54,0.39,0.5,1808924934
India,1402737000,0.7,0.8,1.46,1.23,1.1,1.26,2627769156
United States,340110988,0.68,0.5,0.9,0.72,0.71,0.78,500749045
Indonesia,282477584,0.76,0.7,1.35,1.25,1.05,1.22,517113084
Pakistan,241499431,1.91,2.0,2.05,2.09,1.91,2.02,655348889
Nigeria,223800000,2.53,2.4,2.64,2.67,2.58,2.63,819552024
Brazil,212583750,0.61,0.5,1.03,0.91,0.63,0.86,325657129
Bangladesh,169828911,0.89,1.0,1.18,1.16,1.04,1.13,297369374
Russia,146150789,-0.24,-0.3,-0.07,0.04,0.01,-0.01,145664414
Mexico,130154247,0.61,0.7,1.57,1.41,1.23,1.4,261258189
Japan,123740000,-0.41,-0.5,0.03,-0.09,-0.23,-0.1,117898711
Philippines,114163719,1.58,1.5,1.66,1.64,1.51,1.6,252886659
Ethiopia,109499000,2.42,2.5,2.67,2.6,2.43,2.57,388796394
Egypt,105914499,1.59,1.5,1.82,2.18,1.87,1.96,279085218
Vietnam,100309210,0.93,0.7,0.96,1.12,1.0,1.03,167163710
Iran,85961000,0.93,0.7,1.14,1.25,1.04,1.14,151762536
Turkey,85372377,0.64,0.4,1.26,1.58,1.37,1.4,171367689
Germany,84746132,-0.12,0.8,-0.19,0.2,0.2,0.07,87763689
France,68551000,0.31,0.3,0.58,0.45,0.39,0.47,86806917
United Kingdom,68265209,0.49,0.8,0.98,0.65,0.58,0.74,98532211
Thailand,65969270,0.2,0.1,0.54,0.43,0.22,0.4,80409315
South Africa,63015904,1.07,0.9,1.1,1.39,1.2,1.23,116121333
Tanzania,61741120,2.75,2.9,3.14,3.12,3.06,3.11,285043959
Italy,58958131,-0.11,-0.3,0.31,-0.08,-0.13,0.03,59948834
Colombia,52695952,0.54,0.4,1.18,0.98,0.81,0.99,86237441
Kenya,52428290,2.09,2.0,2.74,2.66,2.49,2.63,191991560
Myanmar,51316756,0.71,0.7,0.68,0.88,0.9,0.82,77195831
South Korea,51248233,0.23,0.1,0.57,0.52,0.36,0.48,65219966
Sudan,50448963,2.55,2.6,2.13,2.34,2.38,2.28,155989687
Spain,48946035,0.12,1.2,1.21,-0.17,0.03,0.36,58482901
Argentina,47067441,0.79,0.9,1.04,1.04,0.94,1.01,77664498
Algeria,46700000,1.54,1.6,1.63,1.98,1.67,1.76,111730513
Uganda,45935046,3.22,2.8,3.45,3.37,3.23,3.35,238598771
Iraq,44414800,1.94,2.2,2.6,3.21,2.78,2.86,182203786
Canada,41465298,0.71,2.9,1.13,1.02,0.9,1.02,68760095
Poland,37519000,-0.28,-0.4,-0.02,-0.03,-0.17,-0.07,36167732
Uzbekistan,37355356,0.81,2.1,1.52,1.59,1.41,1.51,78900762
Morocco,36828330,0.88,1.0,1.2,1.43,1.26,1.3,70135798
Afghanistan,35695527,2.22,2.7,2.78,3.16,2.41,2.78,140847356
Angola,35121734,3.33,3.0,3.57,3.52,3.28,3.46,192087906
Malaysia,34112400,1.01,1.1,1.83,1.78,1.35,1.65,77445018
Peru,34038457,0.5,0.9,1.24,1.32,1.2,1.25,63450687
Ukraine,33443000,-0.52,-2.7,-0.48,-0.5,-0.49,-0.49,26160228
Mozambique,33244414,2.55,2.8,2.93,2.91,2.86,2.9,138831309
Ghana,33007618,2.19,1.9,2.58,2.36,2.16,2.37,106302204
Yemen,32305264,1.83,2.2,2.74,2.62,2.33,2.56,114519554
Saudi Arabia,32175224,1.65,1.5,2.75,2.81,1.9,2.49,109872747
Madagascar,30811969,2.22,2.4,2.86,2.72,2.67,2.75,119621978
Ivory Coast,29389150,2.16,2.5,2.13,2.49,2.49,2.37,94803023
Nepal,29164578,0.74,1.1,1.05,1.17,1.09,1.1,50481170
Cameroon,28758503,2.71,2.6,2.73,2.68,2.56,2.66,106690116
Venezuela,28405543,2.4,1.9,1.61,1.41,1.26,1.43,57678072
Australia,27204800,1.13,2.4,1.78,1.46,1.3,1.51,57650087
Niger,26312034,3.66,3.7,3.75,3.84,3.81,3.8,169833006
North Korea,25950000,0.44,0.4,0.34,0.42,0.47,0.41,31840927
Syria,24672760,6.39,4.9,2.78,-2.3,0.2,0.23,27630075
Burkina Faso,23409015,2.4,2.5,3.01,2.98,2.87,2.95,100323750
Taiwan,23402795,0.03,,0.44,0.33,0.28,0.35,27869974
Mali,22395489,2.93,3.1,3.27,2.95,2.99,3.07,101572081
Sri Lanka,21916000,0.39,-0.7,0.68,0.5,0.35,0.51,28263434
Malawi,20270568,2.28,2.5,3.02,2.95,2.87,2.95,86592518
Kazakhstan,20243981,0.73,1.3,1.07,1.58,1.13,1.26,37860999
Chile,20086377,0.63,0.1,1.02,0.89,0.78,0.9,31386474
Zambia,19610769,2.86,2.7,2.78,3.01,2.97,2.92,82695809
Romania,19064409,-1.01,0.0,-0.95,-0.56,-0.5,-0.67,13622133
Somalia,19009151,2.55,3.1,2.93,2.86,2.93,2.91,79641285
Chad,18675547,3.01,3.1,3.32,3.29,3.01,3.21,90502569
Senegal,18126390,2.52,2.5,2.76,2.96,2.77,2.83,73164955
Netherlands,18045683,0.36,1.0,0.36,0.3,0.29,0.32,21136251
Guatemala,17843132,1.54,1.4,2.22,2.1,1.94,2.09,50109752
Cambodia,17336307,0.99,1.0,1.51,1.62,1.49,1.54,37223271
Ecuador,16938986,1.1,1.0,1.67,1.56,1.42,1.55,36549698
Zimbabwe,16751469,1.95,2.1,1.7,2.27,2.28,2.08,46967238
South Sudan,15254268,4.65,1.6,4.33,3.32,2.72,3.46,83428694
Rwanda,13798561,1.68,2.3,2.61,2.53,2.36,2.5,47427154
Guinea,13261638,2.75,2.4,2.18,2.27,2.57,2.34,42156815
Benin,12910087,3.29,2.7,2.84,2.79,2.73,2.79,51023269
Burundi,12837740,2.81,2.7,3.33,3.03,3.15,3.17,61116729
Haiti,12394537,1.18,1.2,1.53,1.38,1.2,1.37,24473869
Tunisia,11887412,0.63,0.8,1.04,1.16,1.09,1.1,20508275
Belgium,11872024,0.53,1.2,0.73,0.63,0.58,0.65,16386815
Papua New Guinea,11781559,2.31,1.8,2.37,2.16,2.01,2.18,34633603
Jordan,11516000,0.79,0.5,4.57,4.86,2.17,3.87,76755829
Bolivia,11312620,1.0,1.3,1.67,1.56,1.47,1.57,24610655
Cuba,11089511,-0.19,-0.2,0.09,0.23,0.06,0.13,11814090
Czech Republic,10897237,0.0,1.9,0.54,0.13,0.06,0.24,12305276
Dominican Republic,10771504,0.88,0.9,1.38,1.24,1.07,1.23,19848979
United Arab Emirates,10678556,0.58,0.8,11.82,2.03,1.39,5.08,127208383
Portugal,10639726,-0.17,1.1,0.16,-0.44,-0.39,-0.22,9514369
Sweden,10587276,0.51,0.5,0.76,0.78,0.72,0.75,15408323
Greece,10413982,-0.35,-0.6,0.26,-0.4,-0.21,-0.12,9823543
Tajikistan,10277100,1.36,1.9,2.18,2.24,2.06,2.16,29916776
Azerbaijan,10214441,0.43,-0.3,1.13,1.26,0.98,1.12,17855969
Israel,10027000,1.43,2.1,2.35,1.65,1.55,1.85,25073945
Honduras,9892632,1.16,1.5,2.11,1.79,1.63,1.84,24657107
Hungary,9584627,-0.31,-0.6,-0.32,-0.29,-0.34,-0.32,8179049
Austria,9198124,0.3,1.0,0.38,0.53,0.24,0.38,11137299
Belarus,9155978,-0.42,-0.5,-0.31,0.03,-0.15,-0.14,8522322
Switzerland,9027859,0.64,0.8,1.11,1.21,0.83,1.05,15219509
Sierra Leone,8884032,2.41,2.1,2.65,2.28,2.12,2.35,28379351
Togo,8095498,2.45,2.3,2.7,2.63,2.45,2.59,29120618
Laos,7546000,1.3,1.4,1.64,1.3,1.45,1.46,15601742
Libya,7381023,1.54,1.1,1.26,0.21,1.33,0.93,11744847
Kyrgyzstan,7161900,0.82,1.8,1.32,1.57,1.44,1.44,14662357
Turkmenistan,7057841,0.95,1.3,1.35,1.8,1.61,1.59,15506271
Nicaragua,6803886,0.91,1.4,1.29,1.17,1.07,1.18,12211679
Serbia,6605168,-0.63,-0.7,-0.41,-0.4,-0.34,-0.38,5451099
Central African Republic,6470307,1.76,2.9,1.5,0.43,1.58,1.17,11574770
Bulgaria,6445481,-0.66,-0.5,-0.74,-0.62,-0.67,-0.68,4590073
El Salvador,6351000,0.46,0.4,0.45,0.47,0.52,0.48,8069069
Paraguay,6109644,1.12,1.2,1.38,1.34,1.25,1.32,11789335
Singapore,6036900,0.9,4.9,2.44,1.74,1.4,1.86,15170418
Denmark,5989985,0.44,0.7,0.49,0.48,0.38,0.45,7497609
Finland,5636521,0.22,0.5,0.4,0.43,0.36,0.4,6870301
Norway,5585044,0.79,1.1,1.07,1.25,0.94,1.09,9587831
Lebanon,5490000,0.64,-2.5,1.68,5.99,0.57,2.75,21279401
Palestine,5483450,,2.4,,,,2.4,17949473
Slovakia,5421272,-0.12,-0.1,0.02,0.13,0.04,0.06,5595636
Ireland,5380300,0.91,2.6,1.87,0.31,0.78,0.99,8790394
New Zealand,5348600,1.06,2.0,1.1,1.09,0.93,1.04,8972366
Costa Rica,5309625,0.98,0.6,1.35,1.12,0.96,1.14,9374043
Oman,5259612,1.8,1.5,3.83,6.45,4.08,4.79,54482242
Liberia,5248621,2.71,2.2,3.82,2.62,2.52,2.99,22861003
Mauritania,4927532,1.96,2.6,2.85,2.95,2.69,2.83,19889379
Kuwait,4913271,1.13,1.0,5.51,5.44,1.78,4.24,39245080
Panama,4064780,1.51,1.3,1.8,1.71,1.55,1.69,9380750
Croatia,3859686,-0.47,-0.1,-0.23,-0.43,-0.58,-0.41,3137702
Georgia,3694600,0.01,1.3,-1.17,-1.37,-0.27,-0.94,2307885
Eritrea,3535603,1.08,1.7,2.02,1.98,2.28,2.09,9961682
Mongolia,3504741,0.83,1.4,1.42,1.86,1.5,1.59,7725319
Uruguay,3444263,0.27,0.0,0.29,0.34,0.36,0.33,4061036
Bosnia and Herzegovina,3264873,-0.25,-0.7,-0.32,-1.03,-0.22,-0.52,2511467
Armenia,3067400,-0.42,-0.1,-0.71,0.27,0.15,-0.1,2922599
Namibia,3022401,1.8,1.4,1.34,2.2,2.12,1.89,7695197
Lithuania,2897443,-1.04,1.4,-1.36,-1.27,-0.55,-1.06,1700631
Qatar,2857822,0.86,0.8,14.93,6.65,2.36,7.98,132800995
Jamaica,2825544,0.09,-0.1,0.52,0.39,0.29,0.4,3449750
Moldova,2423300,-1.14,-2.1,-0.36,-0.09,-0.24,-0.23,2159761
Gambia,2417471,2.23,2.5,3.17,3.12,2.93,3.07,10981896
Botswana,2410338,1.34,1.7,1.64,1.84,1.79,1.76,5757335
Gabon,2408586,2.39,2.0,3.12,3.26,2.17,2.85,9816958
Albania,2402113,0.16,-1.1,-0.92,-0.12,0.13,-0.3,2063599
Lesotho,2306000,0.76,1.1,0.91,1.27,1.31,1.16,4111647
Slovenia,2126324,-0.08,0.4,0.48,0.29,0.07,0.28,2445376
Latvia,1854900,-1.13,0.1,-1.22,-1.3,-1.03,-1.18,1022893
North Macedonia,1826247,0.11,-1.1,0.1,0.08,0.08,0.09,1907088
Guinea-Bissau,1781308,2.54,2.1,2.39,2.59,2.44,2.47,6043411
Bahrain,1588670,0.82,0.9,6.67,2.01,4.26,4.31,13122750
Kosovo,1585566,0.62,-0.7,,,,-0.7,1115955
Equatorial Guinea,1558160,3.36,2.3,4.56,4.24,3.59,4.13,11787059
Estonia,1374687,-0.74,1.3,-0.35,-0.25,-0.23,-0.28,1196859
Trinidad and Tobago,1368333,0.12,0.3,0.48,0.48,0.26,0.41,1676174
Mauritius,1259509,0.09,-0.1,0.42,0.18,0.23,0.28,1446091
Djibouti,1066809,1.93,1.4,1.66,1.72,1.51,1.63,2394324
Cyprus,918100,1.0,0.7,1.59,0.85,0.78,1.07,1565739
Fiji,900869,0.42,0.7,0.91,0.74,0.72,0.79,1335161
Comoros,900141,1.34,1.8,2.4,2.4,2.24,2.35,2870752
Bhutan,777224,0.95,0.6,2.05,1.58,1.18,1.6,1721646
Guyana,772975,0.28,0.6,-0.12,0.58,0.57,0.34,917469
Solomon Islands,750325,1.69,2.2,2.32,2.14,1.94,2.13,2155880
Luxembourg,672050,1.58,2.3,2.08,2.19,1.27,1.85,1677809
Montenegro,623633,-0.43,-0.2,0.26,0.12,0.04,0.14,668818
Suriname,616500,1.07,0.8,1.06,1.01,0.87,0.98,1003925
Malta,542051,0.59,4.1,0.45,0.55,0.31,0.44,673991
Maldives,515132,-0.17,-0.5,2.68,2.76,1.85,2.43,1711106
Cape Verde,491233,1.16,0.9,,,1.25,1.25,914195
Brunei,450500,1.4,0.8,1.25,1.43,1.25,1.31,863595
Belize,410919,1.47,1.4,2.54,2.22,2.05,2.27,1262318
Bahamas,398165,1.07,0.6,1.83,1.39,1.01,1.41,801866
Iceland,388790,0.89,3.0,1.65,0.61,0.77,1.01,642589
Vanuatu,321409,1.59,2.3,2.42,2.26,2.1,2.26,982533
Barbados,267800,0.23,0.1,0.4,0.33,0.24,0.32,314708
São Tomé and Príncipe,228319,1.45,1.9,2.32,2.25,2.18,2.25,694556
Samoa,205557,0.65,1.5,0.69,0.8,0.65,0.71,293278
Saint Lucia,184100,0.27,0.2,1.06,0.53,0.45,0.68,258353
Seychelles,121355,0.6,-0.1,0.59,0.5,0.5,0.53,158067
Kiribati,120740,1.02,1.7,2.12,1.82,1.71,1.88,306908
Grenada,112579,0.29,0.6,0.33,0.41,0.46,0.4,137449
Saint Vincent and the Grenadines,110872,-0.16,-0.2,0.1,0.03,0.24,0.12,117919
Micronesia,105754,-0.7,0.9,-0.49,0.16,0.63,0.1,111173
Antigua and Barbuda,103603,1.11,0.6,1.18,1.08,1.01,1.09,178148
Tonga,100179,-0.3,0.9,0.6,0.42,0.86,0.63,136908
Andorra,86801,-0.12,0.3,1.37,-1.59,-0.21,-0.14,80793
Dominica,67408,0.02,0.4,0.23,0.48,0.51,0.41,82573
Saint Kitts and Nevis,51320,0.59,0.2,1.13,1.08,0.91,1.04,86090
